Date,Open,High,Low,Close,Adj Close,Volume
1/17/2017,,,,,,
1/18/2017,,,,,,
1/19/2017,,,,,,
1/20/2017,,,,,,
1/23/2017,,,,,,
1/24/2017,,,,,,
1/25/2017,,,,,,
1/26/2017,,,,,,
1/27/2017,,,,,,
1/30/2017,,,,,,
1/31/2017,,,,,,
2/1/2017,,,,,,
2/2/2017,,,,,,
2/3/2017,,,,,,
2/6/2017,,,,,,
2/7/2017,,,,,,
2/8/2017,,,,,,
2/9/2017,,,,,,
2/10/2017,,,,,,
2/13/2017,,,,,,
2/14/2017,,,,,,
2/15/2017,,,,,,
2/16/2017,,,,,,
2/17/2017,,,,,,
2/21/2017,,,,,,
2/22/2017,,,,,,
2/23/2017,81.419998,82.220001,81.029999,81.779999,79.501457,13847000
2/24/2017,81.599998,81.800003,80.760002,81.080002,78.820969,11338700
2/27/2017,81.129997,81.709999,80.809998,81.540001,79.26815,13465900
2/28/2017,81.529999,81.989998,81.050003,81.32,79.054276,16834200
3/1/2017,81.699997,83.330002,81.699997,83.019997,80.706909,17482100
3/2/2017,82.800003,84.25,82.790001,83.300003,80.979118,14170300
3/3/2017,83.300003,83.599998,82.260002,82.459999,80.162514,12190400
3/6/2017,82.440002,82.900002,82.330002,82.830002,80.522209,9617200
3/7/2017,83.110001,83.290001,82.139999,82.519997,80.220833,12711500
3/8/2017,82.349998,82.379997,81.010002,81.029999,78.772362,16817700
3/9/2017,80.639999,81.720001,80.309998,81.669998,79.394524,14721800
3/10/2017,82.440002,82.470001,81.160004,81.610001,79.336205,11355200
3/13/2017,81.5,81.940002,81.050003,81.419998,79.151489,9571400
3/14/2017,81,81.230003,80.440002,80.989998,78.733467,11335700
3/15/2017,81.349998,82.059998,81.050003,82,79.715332,11970300
3/16/2017,82.029999,82.199997,81.669998,82.07,79.783379,9923800
3/17/2017,82.029999,82.260002,81.82,82,79.715332,18834100
3/20/2017,81.720001,82.040001,81.440002,82,79.715332,7700300
3/21/2017,82.160004,82.349998,81.599998,81.830002,79.550064,13387700
3/22/2017,81.959999,82.089996,81.43,81.760002,79.482025,11168400
3/23/2017,81.629997,82.220001,81.459999,81.860001,79.579231,8928000
3/24/2017,82.029999,82.029999,81.150002,81.230003,78.966789,9128500
3/27/2017,80.82,81.43,80.790001,81.25,78.986221,8481200
3/28/2017,81.32,82.019997,80.959999,81.839996,79.559784,11028600
3/29/2017,81.690002,82.279999,81.550003,82.019997,79.734772,8495500
3/30/2017,82.029999,83.870003,81.940002,83.699997,81.367958,44704900
3/31/2017,83.260002,83.309998,81.860001,82.010002,79.725052,21750400
4/3/2017,82.019997,82.309998,81.349998,82.07,79.783379,11438700
4/4/2017,82.099998,82.419998,81.330002,82.370003,80.07502,9270900
4/5/2017,82.849998,83.550003,82.470001,82.529999,80.230568,13809100
4/6/2017,82.75,83.209999,82.459999,83.010002,80.697189,9554900
4/7/2017,83.239998,83.360001,82.68,82.760002,80.454155,8909600
4/10/2017,83.120003,83.470001,82.919998,83.129997,80.813843,8885300
4/11/2017,83.080002,83.169998,82.419998,82.839996,80.531921,8576500
4/12/2017,82.860001,83.349998,82.699997,82.970001,80.658302,9516100
4/13/2017,82.720001,82.730003,81.57,81.690002,79.413971,8667900
4/17/2017,81.849998,81.970001,81.440002,81.580002,79.307037,9577200
4/18/2017,81.32,81.82,81.029999,81.050003,78.791801,8821400
4/19/2017,81.169998,81.510002,80.300003,80.489998,78.247398,10764400
4/20/2017,80.949997,81.739998,80.699997,81.010002,78.752907,11649100
4/21/2017,80.93,81,80.470001,80.690002,78.441826,9816700
4/24/2017,81.279999,81.400002,80.809998,81.110001,78.850128,8729700
4/25/2017,81.43,81.93,81.279999,81.730003,79.452858,10733800
4/26/2017,81.519997,82.330002,81.389999,81.400002,79.132042,9445900
4/27/2017,81.07,81.300003,80.940002,81.260002,78.995949,12385300
4/28/2017,82.459999,82.489998,81.559998,81.650002,79.375084,11827400
5/1/2017,81.510002,82.209999,81.480003,82.059998,79.773659,8664100
5/2/2017,82.139999,82.589996,81.900002,82.050003,79.763939,9102900
5/3/2017,81.970001,83.07,81.910004,82.699997,80.395821,10289000
5/4/2017,82.290001,82.360001,81.400002,81.639999,79.365356,16164500
5/5/2017,81.629997,82.239998,81.610001,82.019997,79.734772,10213000
5/8/2017,82,82.940002,82,82.889999,80.580528,8097100
5/9/2017,82.959999,83,82.160004,82.309998,80.016685,8647100
5/10/2017,82.120003,82.370003,81.650002,81.910004,80.379784,9520300
5/11/2017,82.589996,82.709999,82.099998,82.610001,81.066704,10047300
5/12/2017,82.389999,82.709999,82.25,82.550003,81.007828,7480200
5/15/2017,83,83.18,82.650002,82.800003,81.253159,10881500
5/16/2017,82.900002,83.230003,82.449997,82.550003,81.007828,9574200
5/17/2017,82.550003,83.040001,81.959999,81.989998,80.458282,11151100
5/18/2017,81.769997,82.150002,81.419998,81.75,80.222771,9905800
5/19/2017,82,82.089996,81.690002,81.93,80.399406,13028500
5/22/2017,82.110001,82.330002,81.93,82.290001,80.752678,9218700
5/23/2017,82.32,82.889999,82.239998,82.580002,81.037262,6857200
5/24/2017,82.419998,82.540001,82.010002,82.290001,80.752678,8136000
5/25/2017,82.330002,82.709999,81.519997,81.75,80.222771,12370900
5/26/2017,81.610001,81.800003,80.830002,81.550003,80.026505,8227100
5/30/2017,81.279999,81.339996,81.040001,81.099998,79.584915,8973600
5/31/2017,80.940002,80.949997,80.470001,80.5,78.996124,13572300
6/1/2017,80.370003,80.900002,80.190002,80.699997,79.192383,9884100
6/2/2017,80.589996,80.68,79.260002,79.5,78.014801,21687300
6/5/2017,,,,,,
6/6/2017,,,,,,
6/7/2017,,,,,,
6/8/2017,,,,,,
6/9/2017,,,,,,
6/12/2017,,,,,,
6/13/2017,,,,,,
6/14/2017,,,,,,
6/15/2017,,,,,,
6/16/2017,,,,,,
6/19/2017,,,,,,
6/20/2017,,,,,,
6/21/2017,,,,,,
6/22/2017,,,,,,
6/23/2017,,,,,,
6/26/2017,,,,,,
6/27/2017,,,,,,
6/28/2017,,,,,,
6/29/2017,,,,,,
6/30/2017,,,,,,
7/3/2017,,,,,,
7/5/2017,,,,,,
7/6/2017,,,,,,
7/7/2017,,,,,,
7/10/2017,,,,,,
7/11/2017,,,,,,
7/12/2017,,,,,,
7/13/2017,80.970001,81.089996,80.730003,80.970001,79.457344,5582300
7/14/2017,81,81.410004,80.769997,81.279999,79.761551,7497200
7/17/2017,81,81.43,80.830002,80.860001,79.349403,7914700
7/18/2017,81.019997,81.080002,80.410004,80.599998,79.094254,8046100
7/19/2017,80.440002,80.870003,80.269997,80.849998,79.339577,9393200
7/20/2017,80.970001,81.489998,80.75,80.860001,79.349403,9681000
7/21/2017,80.650002,80.839996,80,80.120003,78.623222,12268600
7/24/2017,80.059998,80.220001,79.760002,79.870003,78.377892,9403000
7/25/2017,80.769997,81.050003,80.269997,80.269997,78.770416,11465300
7/26/2017,80.580002,80.900002,80.199997,80.370003,78.868553,10465100
7/27/2017,80.239998,80.879997,79.900002,80.830002,79.319954,11149700
7/28/2017,79.650002,79.919998,78.269997,79.599998,78.11293,22800800
7/31/2017,79.830002,80.389999,79.599998,80.040001,78.544716,12820200
8/1/2017,80.160004,80.540001,79.970001,80.169998,78.672287,10421200
8/2/2017,79.900002,80.639999,79.800003,80.599998,79.094254,10410100
8/3/2017,80.339996,80.82,80.300003,80.489998,78.986305,10136700
8/4/2017,80.440002,80.559998,80.050003,80.209999,78.71154,8292200
8/7/2017,80.169998,80.169998,79.860001,80.160004,78.662476,7893800
8/8/2017,80.019997,80.220001,79.830002,79.959999,78.466209,9028400
8/9/2017,80.25,80.349998,79.779999,80.209999,78.71154,8087100
8/10/2017,79.760002,79.779999,78.910004,78.970001,78.24585,12580300
8/11/2017,79.209999,79.25,78.199997,78.209999,77.492821,10192400
8/14/2017,78.620003,78.790001,78.120003,78.230003,77.512642,8738000
8/15/2017,78.120003,78.25,77.68,78.040001,77.324379,10350900
8/16/2017,78.040001,78.169998,77.309998,77.470001,76.759605,9117100
8/17/2017,77.260002,77.279999,76.209999,76.260002,75.560699,13400400
8/18/2017,76.18,77.110001,76.050003,76.639999,75.937218,14324300
8/21/2017,76.470001,76.620003,76.080002,76.379997,75.679596,10084900
8/22/2017,76.550003,77.330002,76.529999,76.739998,76.036301,9503600
8/23/2017,76.699997,77.010002,76.470001,76.610001,75.907494,7054300
8/24/2017,76.5,76.650002,76.199997,76.330002,75.630058,8678300
8/25/2017,76.559998,77.129997,76.43,76.720001,76.016487,6844900
8/28/2017,76.900002,76.940002,76.260002,76.470001,75.768776,8229700
8/29/2017,76.209999,76.489998,76.080002,76.449997,75.748955,7060400
8/30/2017,76.239998,76.449997,76.059998,76.099998,75.402168,8218000
8/31/2017,76.269997,76.489998,76.050003,76.330002,75.630058,15641700
9/1/2017,76.370003,76.849998,76.32,76.57,75.867859,7361100
9/5/2017,76.639999,77.360001,76.610001,77.18,76.472267,12784800
9/6/2017,77.889999,79.220001,77.580002,78.779999,78.057594,18574400
9/7/2017,79.019997,79.330002,78.610001,79.029999,78.305298,9836400
9/8/2017,79.010002,79.040001,78.629997,78.82,78.097229,8436000
9/11/2017,79.410004,79.419998,78.900002,79.25,78.523285,12955800
9/12/2017,79.400002,79.690002,79.239998,79.5,78.770988,7644400
9/13/2017,79.5,79.769997,79.379997,79.769997,79.038513,8369700
9/14/2017,79.849998,80.230003,79.769997,80.089996,79.355576,9072600
9/15/2017,80.120003,80.209999,79.550003,80.07,79.335762,16043700
9/18/2017,79.790001,80.139999,79.699997,80.089996,79.355576,8594400
9/19/2017,80.059998,80.389999,79.989998,80.220001,79.48439,9277100
9/20/2017,80.279999,80.660004,80.260002,80.550003,79.811363,10606900
9/21/2017,80.489998,80.529999,79.760002,79.889999,79.15741,11984200
9/22/2017,79.720001,80.300003,79.669998,79.919998,79.187134,10205800
9/25/2017,80.029999,81,79.980003,80.980003,80.237419,10496600
9/26/2017,80.709999,81,80.559998,80.889999,80.148247,8755100
9/27/2017,80.889999,81.449997,80.790001,81.43,80.683296,9724500
9/28/2017,81.629997,82.449997,81.559998,82.190002,81.436325,15581700
9/29/2017,81.940002,82.059998,81.580002,81.980003,81.228249,9944000
10/2/2017,81.300003,81.82,81.25,81.629997,80.881454,6777900
10/3/2017,81.410004,81.970001,81.300003,81.760002,81.010269,6082000
10/4/2017,81.800003,81.870003,81.449997,81.790001,81.039993,6357100
10/5/2017,81.720001,82.239998,81.589996,82.019997,81.267876,7375900
10/6/2017,81.769997,81.889999,81.360001,81.709999,80.960724,6070600
10/9/2017,81.839996,82.18,81.760002,82.029999,81.277786,7489900
10/10/2017,82.339996,82.739998,82.089996,82.260002,81.505684,7218500
10/11/2017,82.160004,82.739998,82.139999,82.599998,81.84256,7023700
10/12/2017,82.309998,82.5,82.169998,82.43,81.674126,6647500
10/13/2017,82.730003,83.080002,82.360001,82.410004,81.654312,7180000
10/16/2017,82.699997,82.949997,82.540001,82.809998,82.050636,5734000
10/17/2017,82.629997,82.970001,82.540001,82.959999,82.199265,6444100
10/18/2017,82.959999,83.389999,82.540001,82.760002,82.001099,6367100
10/19/2017,82.349998,83.050003,82.330002,82.739998,81.981277,7945500
10/20/2017,82.849998,83.129997,82.620003,83.110001,82.347885,9574100
10/23/2017,83.150002,83.760002,83.040001,83.239998,82.476692,9829900
10/24/2017,83.550003,83.809998,83.309998,83.470001,82.70459,7551200
10/25/2017,83.449997,83.730003,82.949997,83.169998,82.407333,9153300
10/26/2017,83.370003,83.650002,83.110001,83.470001,82.70459,9154500
10/27/2017,,,,,,
10/30/2017,,,,,,
10/31/2017,,,,,,
11/1/2017,,,,,,
11/2/2017,,,,,,
11/3/2017,,,,,,
11/6/2017,,,,,,
11/7/2017,,,,,,
11/8/2017,,,,,,
11/9/2017,,,,,,
11/10/2017,,,,,,
11/13/2017,,,,,,
11/14/2017,,,,,,
11/15/2017,,,,,,
11/16/2017,,,,,,
11/17/2017,,,,,,
11/20/2017,,,,,,
11/21/2017,,,,,,
11/22/2017,,,,,,
11/24/2017,,,,,,
11/27/2017,,,,,,
11/28/2017,,,,,,
11/29/2017,,,,,,
11/30/2017,,,,,,
12/1/2017,,,,,,
12/4/2017,,,,,,
12/5/2017,83.410004,83.769997,82.709999,82.889999,82.889999,9357200
12/6/2017,82.849998,83.199997,82.209999,82.279999,82.279999,13398900
12/7/2017,82.400002,82.620003,82.169998,82.550003,82.550003,11359600
12/8/2017,82.489998,82.900002,82.260002,82.660004,82.660004,11988600
12/11/2017,83.040001,83.25,82.739998,83.029999,83.029999,8760700
12/12/2017,82.889999,83.379997,82.699997,82.760002,82.760002,11307000
12/13/2017,82.610001,83.300003,82.480003,83.120003,83.120003,10172700
12/14/2017,83.029999,83.330002,82.889999,82.900002,82.900002,9492400
12/15/2017,83.160004,83.279999,82.870003,83.029999,83.029999,26582300
12/18/2017,83.18,83.669998,82.910004,82.940002,82.940002,9363500
12/19/2017,83.029999,83.169998,82.330002,82.440002,82.440002,10285100
12/20/2017,82.599998,83.139999,82.519997,82.870003,82.870003,10620300
12/21/2017,83.349998,84.269997,82.959999,83.849998,83.849998,13578100
12/22/2017,83.879997,84.019997,83.599998,83.970001,83.970001,10161400
12/26/2017,83.959999,84.360001,83.900002,83.980003,83.980003,4777200
12/27/2017,83.989998,84.099998,83.739998,83.900002,83.900002,7000600
12/28/2017,83.980003,84.050003,83.800003,84.019997,84.019997,7495300
12/29/2017,84,84.199997,83.639999,83.639999,83.639999,8523400
1/2/2018,83.82,85.199997,83.660004,85.029999,85.029999,11469300
1/3/2018,85.160004,86.970001,84.82,86.699997,86.699997,13957700
1/4/2018,86.790001,87.220001,86.43,86.82,86.82,10863000
1/5/2018,86.75,86.879997,85.709999,86.75,86.75,11047600
1/8/2018,86.699997,87.150002,86.599998,87.139999,87.139999,10927100
1/9/2018,86.940002,87.150002,86.650002,86.769997,86.769997,8131600
1/10/2018,87,87.190002,85.980003,86.080002,86.080002,10822300
1/11/2018,86.360001,87.370003,85.93,86.93,86.93,14366000
1/12/2018,87.199997,87.989998,87.18,87.519997,87.519997,9804900
